"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18622","Click all elements in main-menu","chromium","Mon Dec 09 14:49:08 UTC 2024","passed","Mon Dec 09 14:49:27 UTC 2024","","tc_004.spec.js","",""
"","7884","Add book to cart and verify","chromium","Mon Dec 09 14:49:27 UTC 2024","passed","Mon Dec 09 14:49:35 UTC 2024","","tc_005.spec.js","",""
"","3901","Checking the visibility of site blocks.","chromium","Mon Dec 09 14:49:04 UTC 2024","passed","Mon Dec 09 14:49:08 UTC 2024","","tc_003.spec.js","",""
"","6119","Verify that an unregistered user cannot log in.","chromium","Mon Dec 09 14:48:58 UTC 2024","passed","Mon Dec 09 14:49:04 UTC 2024","","tc_002.spec.js","",""
"","5921","Verify that a new user can successfully register on the site.","chromium","Mon Dec 09 14:48:52 UTC 2024","passed","Mon Dec 09 14:48:58 UTC 2024","","TC_001.spec.js","",""
